id,league,team,player_name,weekly_gbp,annual_gbp,weekly_eur,annual_eur,age,position_raw,nationality,source_url
50729,Scottish Championship,Arbroath,Taylor Steven,410,21320,483.8,25157.6,20,"AM RLC, F C",Scotland,/football/scottish-championship/arbroath/
50730,Scottish Championship,Arbroath,Thomas O'Brien,360,18720,424.8,22089.6,33,D C,Scotland,/football/scottish-championship/arbroath/
50731,Scottish Championship,Arbroath,Ross Callachan,330,17160,389.4,20248.8,31,"DM, AM C",Scotland,/football/scottish-championship/arbroath/
50732,Scottish Championship,Arbroath,Ryan Dow,280,14560,330.4,17180.8,34,AM RLC,Scotland,/football/scottish-championship/arbroath/
50733,Scottish Championship,Arbroath,Aidan McAdams,250,13000,295.0,15340.0,26,GK,Scotland,/football/scottish-championship/arbroath/
50734,Scottish Championship,Arbroath,Ryan Flynn,230,11960,271.4,14112.8,36,"WB R, DM",Scotland,/football/scottish-championship/arbroath/
50735,Scottish Championship,Arbroath,Scott Stewart,220,11440,259.6,13499.2,29,"WB R, M RC",Scotland,/football/scottish-championship/arbroath/
50736,Scottish Championship,Arbroath,Arran Pettifer,220,11440,259.6,13499.2,21,DM,England,/football/scottish-championship/arbroath/
50737,Scottish Championship,Arbroath,Jack Wilkie,200,10400,236.0,12272.0,21,D LC,Scotland,/football/scottish-championship/arbroath/
50738,Scottish Championship,Arbroath,Rocco Hickey-Fugaccia,200,10400,236.0,12272.0,20,WB/AM R,Scotland,/football/scottish-championship/arbroath/
50739,Scottish Championship,Arbroath,Victor Enem,150,7800,177.0,9204.0,18,D/WB R,England,/football/scottish-championship/arbroath/
50740,Scottish Championship,Arbroath,Jordan Pettigrew,150,7800,177.0,9204.0,25,GK,Scotland,/football/scottish-championship/arbroath/
50741,Scottish Championship,Ayr United,Leon King,8000,416000,9440.0,490880.0,21,D RC,Scotland,/football/scottish-championship/ayr-united/
50742,Scottish Championship,Ayr United,George Oakley,2200,114400,2596.0,134992.0,29,ST,England,/football/scottish-championship/ayr-united/
50743,Scottish Championship,Ayr United,Ben Dempsey,1500,78000,1770.0,92040.0,25,DM,England,/football/scottish-championship/ayr-united/
50744,Scottish Championship,Ayr United,Dom Thomas,1400,72800,1652.0,85904.0,29,"AM RLC, F C",Scotland,/football/scottish-championship/ayr-united/
50745,Scottish Championship,Ayr United,Curtis Main,1400,72800,1652.0,85904.0,33,ST,England,/football/scottish-championship/ayr-united/
50746,Scottish Championship,Ayr United,Anton Dowds,1050,54600,1239.0,64428.0,28,ST,Scotland,/football/scottish-championship/ayr-united/
50747,Scottish Championship,Ayr United,Kevin Holt,1000,52000,1180.0,61360.0,32,D C,Scotland,/football/scottish-championship/ayr-united/
50748,Scottish Championship,Ayr United,Jamie Murphy,960,49920,1132.8,58905.6,35,AM LC,Scotland,/football/scottish-championship/ayr-united/
50749,Scottish Championship,Ayr United,Marco Rus,930,48360,1097.4,57064.8,22,AM C,Romania,/football/scottish-championship/ayr-united/
50750,Scottish Championship,Ayr United,David Mitchell,920,47840,1085.6,56451.2,35,GK,Scotland,/football/scottish-championship/ayr-united/
50751,Scottish Championship,Ayr United,Liam Dick,840,43680,991.2,51542.4,29,D LC,Scotland,/football/scottish-championship/ayr-united/
50752,Scottish Championship,Ayr United,Shaun Want,820,42640,967.6,50315.2,28,D RC,Scotland,/football/scottish-championship/ayr-united/
50753,Scottish Championship,Ayr United,Ethan Walker,810,42120,955.8,49701.6,22,"AM RLC, F C",England,/football/scottish-championship/ayr-united/
50754,Scottish Championship,Ayr United,Nick McAllister,770,40040,908.6,47247.2,24,D RC,Scotland,/football/scottish-championship/ayr-united/
50755,Scottish Championship,Ayr United,Mark McKenzie,730,37960,861.4,44792.8,24,"AM RLC, ST",Scotland,/football/scottish-championship/ayr-united/
50756,Scottish Championship,Ayr United,Dylan Watret,720,37440,849.6,44179.2,18,D R,Scotland,/football/scottish-championship/ayr-united/
50757,Scottish Championship,Ayr United,Scott McMann,600,31200,708.0,36816.0,28,D LC,Scotland,/football/scottish-championship/ayr-united/
50758,Scottish Championship,Ayr United,Stuart Bannigan,600,31200,708.0,36816.0,32,DM,Scotland,/football/scottish-championship/ayr-united/
50759,Scottish Championship,Ayr United,Jude Bonnar,510,26520,601.8,31293.6,19,AM LC,Scotland,/football/scottish-championship/ayr-united/
50760,Scottish Championship,Ayr United,Kyle Ure,500,26000,590.0,30680.0,19,DM,Scotland,/football/scottish-championship/ayr-united/
50761,Scottish Championship,Ayr United,Matthew Warbrick,440,22880,519.2,26998.4,24,AM RL,New Zealand,/football/scottish-championship/ayr-united/
50762,Scottish Championship,Dundee,Aaron Donnelly,3500,182000,4130.0,214760.0,22,D LC,N.Ireland,/football/scottish-championship/dundee/
50763,Scottish Championship,Dundee,Cameron Congreve,3400,176800,4012.0,208624.0,21,AM RC,Wales,/football/scottish-championship/dundee/
50764,Scottish Championship,Dundee,Ethan Hamilton,3300,171600,3894.0,202488.0,26,"DM, AM C",Scotland,/football/scottish-championship/dundee/
50765,Scottish Championship,Dundee,Simon Murray,2600,135200,3068.0,159536.0,33,ST,Scotland,/football/scottish-championship/dundee/
50766,Scottish Championship,Dundee,Billy Koumetio,2500,130000,2950.0,153400.0,22,D LC,France,/football/scottish-championship/dundee/
50767,Scottish Championship,Dundee,Ashley Hay,2500,130000,2950.0,153400.0,21,ST,England,/football/scottish-championship/dundee/
50768,Scottish Championship,Dundee,Drey Wright,2400,124800,2832.0,147264.0,30,"D/WB RL, AM R",England,/football/scottish-championship/dundee/
50769,Scottish Championship,Dundee,Clark Robertson,2400,124800,2832.0,147264.0,31,D LC,Scotland,/football/scottish-championship/dundee/
50770,Scottish Championship,Dundee,Callum Jones,2400,124800,2832.0,147264.0,24,"DM, AM C",Wales,/football/scottish-championship/dundee/
50771,Scottish Championship,Dundee,Yan Dhanda,2300,119600,2714.0,141128.0,26,AM RLC,England,/football/scottish-championship/dundee/
50772,Scottish Championship,Dundee,Finlay Robertson,2300,119600,2714.0,141128.0,22,DM,Scotland,/football/scottish-championship/dundee/
50773,Scottish Championship,Dundee,Ethan Ingram,2300,119600,2714.0,141128.0,22,D/WB R,England,/football/scottish-championship/dundee/
50774,Scottish Championship,Dundee,Emile Acquah,2300,119600,2714.0,141128.0,24,ST,England,/football/scottish-championship/dundee/
50775,Scottish Championship,Dundee,Jon McCracken,2100,109200,2478.0,128856.0,25,GK,Scotland,/football/scottish-championship/dundee/
50776,Scottish Championship,Dundee,Imari Samuels,2100,109200,2478.0,128856.0,22,D/WB L,England,/football/scottish-championship/dundee/
