name,team,league,position,apps,minutes,us_goals,us_npg,us_assists,us_shots,us_key_passes,us_yellow_cards,us_red_cards,us_xg,us_npxg,us_xa,us_xg_chain,us_xg_buildup,xg90,npxg90,xa90,xg90_xa90,npxg90_xa90,xgchain90,xgbuildup90,season,row_id,norm_name,source
Vladislav Torop,CSKA Moscow,Russian Premier League,GK S,12,1013,0,0,0,0,1,0,0,0.0,0.0,0.0415,1.0778,1.0363,0.0,0.0,0.0037,0.0037,0.0037,0.0958,0.0921,2026/2027,9526,,
Bogdan Jocic,Rubin Kazan,Russian Premier League,F M S,20,1097,0,0,2,12,9,5,0,1.0932,1.0932,0.6571,2.0658,1.0515,0.0897,0.0897,0.0539,0.1436,0.1436,0.1695,0.0863,2026/2027,9527,,
Aymane Mourid,Baltika,Russian Premier League,M S,13,349,0,0,1,5,5,2,0,0.4073,0.4073,1.3885,2.4434,1.6419,0.105,0.105,0.3581,0.4631,0.4631,0.6301,0.4234,2026/2027,9528,,
Maksim Nenakhov,Lokomotiv Moscow,Russian Premier League,D S,21,1238,0,0,1,7,7,3,1,0.2027,0.2027,0.7138,2.848,2.5522,0.0147,0.0147,0.0519,0.0666,0.0666,0.207,0.1855,2026/2027,9529,,
Miroslav Bogosavac,FK Akhmat,Russian Premier League,D,30,2663,0,0,0,8,20,1,0,0.5226,0.5226,0.8828,4.4847,3.4568,0.0177,0.0177,0.0298,0.0475,0.0475,0.1516,0.1168,2026/2027,9530,,
Vadim Lukyanov,Nizhny Novgorod,Russian Premier League,GK,1,90,0,0,0,1,0,0,0,0.039,0.039,0.0,0.1572,0.1182,0.039,0.039,0.0,0.039,0.039,0.1572,0.1182,2026/2027,9531,,
Ilya Samoshnikov,"Lokomotiv Moscow,Spartak Moscow",Russian Premier League,M S,3,74,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026/2027,9532,,
Kirill Zaika,PFC Sochi,Russian Premier League,D M S,26,1608,0,0,0,6,6,6,1,0.248,0.248,0.6393,3.2298,2.5131,0.0139,0.0139,0.0358,0.0497,0.0497,0.1808,0.1407,2026/2027,9533,,
Yuri Kovalev,Baltika,Russian Premier League,D F M S,17,468,0,0,0,5,1,1,0,0.5001,0.5001,0.0806,1.1496,0.5689,0.0962,0.0962,0.0155,0.1117,0.1117,0.2211,0.1094,2026/2027,9534,,
Pavel Gorelov,FC Orenburg,Russian Premier League,S,3,73,0,0,0,0,1,0,0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.0271,0.0271,0.0271,0.0271,0.0,2026/2027,9535,,
