analyst_name,best_tm_id,best_method,fuzzy_score,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id
"Alessandro Bianco",602124,reep,,reep_p9b99d0e0,,1101992,,
"Alessandro Buongiorno",386446,reep,,reep_p4edd3705,,870263,4ae67f27,
"Alessandro Cardinali",976446,manual,,,,,,
"Alessandro Ciardi",867137,fuzzy,85.7143,,,,,
"Alessandro Circati",867137,reep,,reep_p994548a1,1318686,1155423,,
"Alessandro Deiola",235931,reep,,reep_p00d30ec3,449283,328109,7f267d66,
"Alessandro Di Pardo",457674,reep,,reep_pac7337ff,,928814,e0ce7038,
"Alessandro Gabrielloni",311333,reep,,reep_p9bf58c4b,,,181cb492,
"Alessandro Marcandalli",818448,reep,,reep_pdc0d9dd2,1436436,1068885,,
"Alessandro Romano",224945,reep,,reep_p0117aa54,,,e01282f0,
"Alessandro Russo",481344,reep,,reep_pa018c474,,918862,3945ac70,
"Alessandro Vinciguerra",885228,reep,,reep_p862565ab,,1122805,,
"Alessandro Vogliacco",330208,reep,,reep_p0e93b15c,,807295,6841f107,
"Alessandro Zanoli",397225,reep,,reep_p37c28a73,916710,922928,3b12b11f,
"Alessio Castro-Montes",340166,reep,,reep_p2c97c118,,839898,742a4995,
"Alessio Furlanetto",538079,reep,,reep_p9ecc35a3,1050325,,,
"Alessio Romagnoli",197747,reep,,reep_p8dcf7844,362195,227864,3ead85f9,
"Alessio Zerbin",433584,reep,,reep_p32d79b7a,850295,,d19ef4ef,
"Alex Almansa",628223,fuzzy,90,,,,,
"Alex Amorim",1082774,fuzzy,90,,,,,
"Alex Bangura",435821,reep,,reep_pe2b2866d,,967178,c47e09ba,
"Alex Bass",334687,reep,,reep_pcb3289b3,,587086,3278d395,
"Alex Berenguer",338425,reep,,reep_p761b5ba2,,592012,dc1c2fce,
"Alex Bonetig",1013240,reep,,reep_pe774fb37,,1214396,5d22ca4b,
"Alex Castiello",628223,fuzzy,90,,,,,
"Alex Cochrane",392773,reep,,reep_pbd460f1b,,970353,,8581
"Alex Douglas",539008,reep,,reep_pc9c29ade,,909618,,
"Alex Flynn",628223,fuzzy,90,,,,,
"Alex Gilbert",542884,reep,,reep_pb49a126a,,1005765,,
"Alex Gilbey",238440,reep,,reep_p43e67b09,,254823,b97f0be7,
"Alex Gilliead",221687,reep,,reep_p6c804d7c,,284451,afd24e42,
"Alex Harris",192500,reep,,reep_p8435c7ce,,,79b25d8d,
"Alex Hartridge",527788,reep,,reep_p40e05903,,884990,e0b1993c,
"Alex Henderson",664559,reep,,reep_pcdeea808,,1009384,,
"Alex Herraiz",628223,fuzzy,90,,,,,
"Alex Iwobi",242631,reep,,reep_p0ced3d0b,604785,352770,6ca5ec4b,500
"Alex Král",337333,reep,,reep_p12347f29,836797,825740,e717705a,8017
"Alex Lebarbier",979325,fuzzy,100,,,,,
"Alex Lowry",633753,reep,,reep_p76e8d697,,1127515,,
"Alex Marchal",1201530,reep,,reep_pb20eb500,,,,
"Alex Matos",270735,reep,,reep_pd89e7b16,,,5bfc60b3,
"Alex McCarthy",95976,reep,,reep_pbde23a0f,,45502,36c2ca73,635
"Alex Meret",240414,reep,,reep_pfcf02dc2,,592794,9413b19f,
"Alex Mighten",503988,reep,,reep_p8bae16ab,,992044,10ec4169,10761
"Alex Mowatt",283514,reep,,reep_p1bd9797a,,351498,361b8b6c,
"Alex Murphy",900601,reep,,reep_pad25c3f2,1362341,1125214,f1c42eb3,12199
"Alex Muyl",413690,reep,,reep_p669f7920,,829568,2c1025bf,
"Alex Palmer",245625,reep,,reep_p5301b2c4,,,,1038
"Alex Panach",628223,fuzzy,90,,,,,
"Alex Pattison",399454,reep,,reep_p01298b84,,831110,ae8165b8,
"Alex Robertson",609887,reep,,reep_pb8997a38,,1067119,,11593
"Alex Roldan",562560,reep,,reep_p624993a8,,882537,1255a82a,
"Alex Sancris",560705,reep,,reep_p76176cbf,1323207,1398518,,
"Alex Scott",177232,reep,,reep_p733c0f21,,,,
"Alex Stepien-Iwumene",1021836,fuzzy,100,,,,,
"Alex Tóth",998101,reep,,reep_p38920d16,1449690,1476524,,14374
"Alex Williams",454766,reep,,reep_p1cf05124,,,,
"Alexander Aravena",662742,reep,,reep_p7fbc1a39,,1000502,4535ab5d,
"Alexander Bah",452607,reep,,reep_p830643ac,,850976,78f21137,
"Alexander Freeman",628223,fuzzy,90,,,,,
"Gregor Kobel",257814,reep,,reep_p133194f8,764018,556866,cd59b9df,
"Alexander Isak",349066,reep,,reep_p87829862,690107,823941,8e92be30,5232
"Alexander Jensen",517724,reep,,reep_pfc8b7c47,,,ff6bf3c9,
"Alexander Jeremejeff",205760,reep,,reep_p1c5faf09,,309892,54394643,
"Alexander Nübel",195778,reep,,reep_p49603603,,584722,afb0c500,
"Alexander Prass",434116,reep,,reep_pd06768b2,,978062,,
"Alexander Røssing-Lelesiit",1213681,reep,,reep_p00d189e4,,1862226,,
"Alexander Schlager",186374,reep,,reep_p3c896dcd,,282073,6fe5c35b,
"Alexander Shaw",1335512,reep,,reep_p83390603,,,773d5387,
"Alexander Smith",628223,fuzzy,90,,,,,
"Alexander Staff",1045243,reep,,reep_p392eae4c,,1403087,,
"Alexander Sørloth",238407,reep,,reep_p2f6a8b35,440330,309078,e92cd3f7,6531
